amfi_code,Sharpe_Ratio,Rank
100016,-0.2015170675596699,35.0
100025,-0.5670947928477086,39.0
100033,1.0936987435346326,7.0
101206,1.0272133278753697,9.0
101207,0.16266076928646744,28.0
101208,-0.8155673679101648,40.0
102885,0.8170993373494355,16.0
102886,-0.20583160785470483,36.0
102887,0.6195175900829826,22.0
118632,1.0816591793457038,8.0
118633,0.6452074382933202,21.0
118634,0.4484340089089893,26.0
118635,0.6648569985490606,19.0
118636,-0.35662950751440037,38.0
119092,0.0307848509545839,31.0
119093,0.12961449795668886,29.0
119094,0.99823098686364,11.0
119095,-0.07597357117478934,33.0
119120,-0.2265753866279456,37.0
119551,1.208266567372714,4.0
119552,0.9532794968660094,12.0
119598,0.945308257515609,14.0
119599,-0.05718662582818192,32.0
120503,0.7979728586052822,17.0
120504,1.0265242847992984,10.0
120505,1.180101197660648,5.0
120506,0.6488787755249534,20.0
120507,0.49572339295190765,23.0
120841,0.4942725378672308,24.0
120842,0.07599984804658422,30.0
120843,1.306743969542841,2.0
120844,-0.08874729621698073,34.0
125497,0.7757902498211184,18.0
125498,0.3006119210425449,27.0
148567,1.448291170326253,1.0
148568,0.9262873467360143,15.0
148569,1.2349300257743312,3.0
149322,0.46403744922047474,25.0
149323,1.1321218524747207,6.0
149324,0.9497958246616012,13.0
