amfi_code,Sortino_Ratio,Rank
100016,-0.3510474601523085,36.0
100025,-0.9418212366054455,39.0
100033,1.8291339615146909,8.0
101206,1.7995628746984453,10.0
101207,0.2766437962609221,28.0
101208,-1.681037866754094,40.0
102885,1.4357420130649399,16.0
102886,-0.34722230254727443,35.0
102887,1.0887552508029967,22.0
118632,1.8501325468557173,7.0
118633,1.1544757169236162,19.0
118634,0.746014630853352,26.0
118635,1.1379767187807346,20.0
118636,-0.6135251287271507,38.0
119092,0.05257398559304429,31.0
119093,0.221086839792755,29.0
119094,1.7037974802462927,11.0
119095,-0.12818559275851915,33.0
119120,-0.37676700817071135,37.0
119551,2.140267129061778,4.0
119552,1.609776489628299,15.0
119598,1.675316570012547,12.0
119599,-0.09438726129459905,32.0
120503,1.3379431500669134,17.0
120504,1.8052937940992428,9.0
120505,2.029352940465737,5.0
120506,1.0958951614736425,21.0
120507,1.0521238822579813,23.0
120841,0.8625738849916468,24.0
120842,0.12469346986474814,30.0
120843,2.3643200321667095,2.0
120844,-0.18772304774540455,34.0
125497,1.3306512447571266,18.0
125498,0.5088128197169165,27.0
148567,2.3856443733687978,1.0
148568,1.6327409778735094,13.0
148569,2.1469139263460506,3.0
149322,0.7621288703723083,25.0
149323,1.875101063919196,6.0
149324,1.6197931764914026,14.0
